sequence;date;expirationDate;supplier;documentNumber;netAmount;vatAmount;totalAmount;outstandingAmount
20130303;31/10/2013;15/11/2013;Thomas toyota;13761;97,78;20,53;118,31;0
20130298;28/10/2013;28/10/2013;euphony;9252261013;48,14;3,81;51,95;0
20130285;8/11/2013;16/11/2013;banden roelants;201.304.092;109,62;23,02;132,64;0
20130280;5/11/2013;5/12/2013;base company nv;3624950813;-473,46;-99,43;-572,89;0
20130277;5/11/2013;13/11/2013;use it group nv;201303405;1733;363,93;2096,93;0
20130274;8/11/2013;18/11/2013;parko agb;;25;0;25;25
20130271;19/11/2013;19/12/2013;VAB Rijschool nv;13003856;841,32;176,68;1018;0
20130270;19/11/2013;19/12/2013;VAB Rijschool nv;13003857;841,32;176,68;1018;0
20130269;31/10/2013;15/11/2013;sita waste services nv;1584064787;97,45;20,46;117,91;0
20130268;1/11/2013;1/12/2013;kbc verzekeringen;;521,01;0;521,01;0
20130263;13/11/2013;1/12/2013;eni gas & power nv;182.112.208.859;117,43;24,66;142,09;0
20130261;19/11/2013;19/12/2013;kbc verzekeringen;;97,43;0;97,43;0
20130258;21/10/2013;20/11/2013;C&J Credit Services bvba;2165;250;52,5;302,5;0
20130256;20/10/2013;19/11/2013;de meester consultants;FACT 5708;846;177,66;1023,66;0
20130253;6/11/2013;6/12/2013;ip nexia;2396441;23,7;4,52;28,22;0
20140129;2/05/2014;2/05/2014;hdi;;2240,08;22,14;2262,22;2134,64
20140122;22/04/2014;5/05/2014;hdi;;7446,15;0;7446,15;7446,15
20140121;22/04/2014;5/06/2014;hdi;;7446,15;0;7446,15;7446,15
20140120;22/04/2014;5/07/2014;hdi;;6205,12;0;6205,12;6205,12
20140096;3/04/2014;25/04/2014;hdi;;32,18;2,21;34,39;0
20140090;31/03/2014;10/04/2014;hdi;;5439,13;50,53;5489,66;0
20140041;3/03/2014;3/03/2014;hdi;;3618,44;31,44;3649,88;0
20140028;20/01/2014;5/04/2014;hdi;2709;2415,5;0;2415,5;0
20140027;20/01/2014;5/03/2014;hdi;2708;2898,6;0;2898,6;0
20140026;20/01/2014;5/02/2014;hdi;2707;2898,6;0;2898,6;0
20140008;7/02/2014;7/02/2014;hdi;6167;913,19;28,82;942,01;0
20130355;27/12/2013;10/01/2014;hdi;;3411,8;47,99;3459,79;0
20130338;17/12/2013;5/01/2014;hdi;41900;700;0;700;0
20130320;3/12/2013;3/12/2013;hdi;40721;12251,84;53,38;12305,22;0
20130281;20/11/2013;5/12/2013;hdi;38757;1400;0;1400;0
20130273;5/11/2013;5/11/2013;hdi;37611;11022,54;45,39;11067,93;0
20130272;6/11/2013;6/11/2013;hdi;37771;25;5,25;30,25;0
20130257;12/10/2013;11/11/2013;acerta;3,13573E+11;1448,12;0;1448,12;1448,12
20130243;14/10/2013;5/01/2014;hdi;34815;691,05;0;691,05;0
20130242;14/10/2013;5/12/2013;hdi;34814;1612,45;0;1612,45;0
20130211;8/10/2013;8/10/2013;hdi;33657;9338,35;68,74;9407,09;0
20130199;26/09/2013;26/09/2013;hdi;;31,17;6,55;37,72;0
20130174;4/09/2013;4/10/2013;hdi;30004;11902,44;64,93;11967,37;0
20140094;31/03/2014;14/04/2014;Belfius Verzekeringen;;500;0;500;0
20140193;26/06/2014;26/08/2014;vlaamse belastingdienst - vkb;;74,58;0;74,58;74,58
20140172;3/06/2014;12/08/2014;vlaamse belastingdienst - ov;;4070,11;0;4070,11;4070,11
20140112;8/04/2014;8/05/2014;fod financien;;8,08;0;8,08;0
20140066;25/03/2014;25/05/2014;vlaamse belastingdienst - vkb;;74,58;0;74,58;0
20130356;26/12/2013;26/02/2014;vlaamse belastingdienst - vkb;;148,76;0;148,76;0
20130325;9/12/2013;9/02/2014;Stad Dendermonde;;25;0;25;25
20130314;14/11/2013;26/01/2014;vlaamse belastingdienst - vkb;1,35381E+11;148,76;0;148,76;0
20140206;30/06/2014;30/06/2014;hertecant hout nv;1405042;560,19;117,64;677,83;0
20140198;25/06/2014;9/07/2014;Auditas - DBW;;1000;210;1210;1210
20140165;13/06/2014;13/08/2014;APB-Bedrijven O-Vl;4628210;124;0;124;124
20140160;10/06/2014;10/07/2014;eb-lease;;261,15;54,84;315,99;0
20140157;10/06/2014;10/07/2014;ijzerwaren vertommen;;325,39;68,33;393,72;0
20140154;9/05/2014;25/06/2014;acerta;;868;0;868;868
20140151;22/05/2014;21/06/2014;De Koninck;201401012;261,01;54,81;315,82;0
20140024;28/01/2014;7/02/2014;Jaak Van Extergem;201402;2929;615,09;3544,09;0
20140009;31/01/2014;2/03/2014;lecot;V1 0130003;46,17;9,7;55,87;0
20140003;1/01/2014;1/01/2014;grenke sprl;0000004875/2014;507;106,47;613,47;0
20140002;1/01/2014;1/01/2014;grenke sprl;0000008227/2014;158,69;0;158,69;0
20130363;31/12/2013;30/01/2014;de gelder;FDV13/2212;128,5;26,99;155,49;0
20130359;24/10/2013;24/10/2013;luminus;;73,98;49,14;123,12;123,12
20130352;27/12/2013;26/01/2014;gdw Veyssiere - hooft - vernimmen;;295,75;29,83;325,58;0
20130337;10/12/2013;9/01/2014;FOD Financien;;480,64;0;480,64;480,64
20130322;18/11/2013;18/11/2013;FOD Mobiliteit en Vervoer;;26;0;26;0
20130319;8/12/2013;7/01/2014;dries - privé betaald;;22,22;0;22,22;0
20130318;8/12/2013;7/01/2014;dries - privé betaald;roelants - 20130173;159,26;0;159,26;0
20130316;14/11/2013;29/11/2013;luminus;8884007726;225,69;47,4;273,09;0
20130295;28/10/2013;13/11/2013;sip-well nv;F13187420;56,37;5,72;62,09;0
20130287;8/11/2013;8/11/2013;Studiebureel voor Automobieltransport nv;1016/2013/484;12,4;2,6;15;0
20130286;8/11/2013;8/11/2013;Studiebureel voor Automobieltransport nv;1016/2013/483;12,4;2,6;15;0
20130252;24/10/2013;10/11/2013;hdi;36624;708,96;40,63;749,59;0
20130251;28/10/2013;27/11/2013;lecot;31048648;58,8;12,35;71,15;0
20130250;16/10/2013;15/11/2013;leitz-service nv;573653;136,18;28,6;164,78;0
20130249;30/09/2013;7/10/2013;cerclindus nv;13027324;584,46;122,74;707,2;0
20130248;7/10/2013;6/11/2013;lecot;31025991;168,09;35,3;203,39;0
20130247;30/09/2013;30/09/2013;hout de groote nv;1303419;107,25;22,52;129,77;0
20130246;30/09/2013;30/09/2013;all-scaff steigerbouw bvba;20132192;257,14;54;311,14;0
20130245;30/09/2013;15/10/2013;sita waste services nv;1584022685;53,95;11,33;65,28;0
20130244;9/10/2013;8/11/2013;lecot;31029098;141,7;29,76;171,46;0
20130241;14/10/2013;5/11/2013;hdi;34813;3482,1;0;3482,1;0
20130240;25/09/2013;5/10/2013;onmiddelijke inningen;;50;0;50;0
20130239;25/09/2013;5/10/2013;onmiddelijke inningen;;90;0;90;0
20130238;11/10/2013;11/10/2013;van den cruyce dirk;3512013;777;163,17;940,17;0
20130237;16/10/2013;16/10/2013;herman motoren;140085;292,5;61,43;353,93;0
20130236;11/10/2013;10/12/2013;vc wood;z13100179;853,76;171,48;1025,24;0
20130235;10/10/2013;9/12/2013;vc wood;z13100016;1860,52;375,09;2235,61;0
20130234;10/10/2013;9/12/2013;vc wood;z13100017;359,53;75,5;435,03;0
20130233;11/10/2013;10/12/2013;vc wood;;927,2;194,71;1121,91;0
20130232;10/10/2013;30/11/2013;van steenberghe;;3562,25;748,07;4310,32;0
20130231;14/10/2013;29/10/2013;toi toi & dixi;;85,62;17,98;103,6;0
20130230;15/10/2013;30/10/2013;Thomas toyota;;267,96;56,27;324,23;0
20130229;8/10/2013;18/10/2013;ip nexia;;34,76;7,3;42,06;0
20130228;11/10/2013;10/11/2013;leitz-service nv;;121,17;25,45;146,62;0
20130227;28/10/2013;27/11/2013;kbc verzekeringen;;97,43;0;97,43;0
20130226;10/10/2013;17/10/2013;cerclindus nv;;312,47;65,62;378,09;0
20130225;21/10/2013;28/10/2013;cerclindus nv;;39,76;8,35;48,11;0
20130224;17/10/2013;24/10/2013;cerclindus nv;;382;80,22;462,22;0
20130223;18/10/2013;18/11/2013;hdd design bvba;;31,42;6,6;38,02;0
20130222;14/10/2013;13/12/2013;vc wood;;-148,72;0;-148,72;-148,72
20130221;14/10/2013;13/12/2013;vc bouw nv;;-70;0;-70;-70
20130220;21/10/2013;21/10/2013;indicator nv;;-112;-6,72;-118,72;0
20130219;4/10/2013;19/10/2013;indicator nv;;112;6,72;118,72;0
20130218;21/10/2013;30/11/2013;van steenberghe;;1756,28;368,82;2125,1;0
20130217;21/10/2013;20/11/2013;van steenberghe;;-1170,86;-245,88;-1416,74;0
20130216;29/04/2013;28/06/2013;vc wood;Z13040826;1273,38;259,6;1532,98;0
20130215;24/09/2013;24/10/2013;leitz-service nv;;69,44;14,58;84,02;0
20130214;30/09/2013;29/11/2013;vc bouw nv;;321,64;67,54;389,18;389,18
20130213;1/10/2013;1/10/2013;grenke sprl;;507;106,47;613,47;0
20130212;30/09/2013;31/10/2013;dl chemicals;;494,39;103,82;598,21;0
20130210;11/09/2013;18/09/2013;lambrechts verhuur bvba;;90,8;19,07;109,87;0
20130209;16/09/2013;1/10/2013;luminus;;66,11;13,89;80;80
20130208;16/09/2013;1/10/2013;toi toi & dixi;;114,16;23,97;138,13;0
20130207;16/09/2013;1/10/2013;luminus;;19,84;4,16;24;0
20130206;18/09/2013;18/10/2013;lecot;;93,4;19,61;113,01;0
20130205;30/08/2013;30/08/2013;all-scaff steigerbouw bvba;;300;63;363;0
20130204;20/09/2013;20/11/2013;fod financien;;346,62;0;346,62;346,62
20130202;25/09/2013;5/10/2013;hdi;;2100;0;2100;0
20130201;23/09/2013;8/10/2013;lashing t.g.v. bvba;;121,57;25,53;147,1;0
20130200;26/09/2013;26/10/2013;hdd design bvba;;141,5;29,72;171,22;0
20130198;25/09/2013;25/10/2013;lecot;;256,43;53,85;310,28;0
20130197;25/09/2013;10/10/2013;sip-well nv;;59,34;5,9;65,24;0
20130196;26/09/2013;3/10/2013;cerclindus nv;;278,11;58,4;336,51;0
20130195;27/09/2013;4/10/2013;cerclindus nv;;17,79;3,74;21,53;0
20130194;27/09/2013;27/09/2013;euphony;;108,04;22,56;130,6;0
20130193;30/09/2013;30/09/2013;metalu;;109,75;23,05;132,8;0
20130192;30/08/2013;30/09/2013;bouttens nv;;362,82;76,19;439,01;0
20130191;2/09/2013;15/09/2013;kbc verzekeringen;;293,9;0;293,9;0
20130190;31/08/2013;15/09/2013;sita waste services nv;;62,19;13,06;75,25;0
20130189;31/08/2013;30/09/2013;lecot;;15,42;3,24;18,66;0
20130187;4/09/2013;4/09/2013;hdi;;91,93;0;91,93;0
20130186;29/08/2013;30/09/2013;agc;;561,92;118;679,92;0
